time,time-dur,lat,lon,dep,strike,dip,rake,Mo(Nm),slip_all,x,y,xinc,yinc,segnum,subnum,parnum,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,up_middle_lon,up_middle_lat,down_middle_lon,down_middle_lat
12.92,8.0,32.923,131.035,1.703,228.543,70.491,155.0,1.217e+17,0.312,-30.273,11.266,4.33,3.61,1.0,1.0,1.0,131.01338757701194,32.914147805419645,131.048083717464,32.93999657379606,131.05661548590342,32.931849628830726,131.0219225246362,32.906000826711136,131.0392664840384,32.91892644474266,131.03073312499063,32.92707340695434
12.481,8.0,32.93,131.025,4.701,229.53,67.963,0.0,0.0,0.0,-30.283,7.526,4.31,3.78,1.0,2.0,17.0,131.00255132840982,32.92225111585792,131.0376106855473,32.94747493381082,131.04745118871014,32.93774622229761,131.01239566874966,32.912522365020024,131.0299209421508,32.92513553539888,131.02007851920294,32.93486426703123
12.212,8.0,32.938,131.013,8.717,230.678,72.418,0.0,0.0,0.0,-30.307,3.68,4.29,3.83,1.0,3.0,33.0,130.99133809848666,32.92977763659257,131.02682712938983,32.95428975914937,131.03466482881984,32.94621971019437,130.9991790209155,32.92170755593379,131.01691947795973,32.93396490462533,131.00908016605368,32.94203496982038
12.137,8.0,32.945,131.003,12.0,231.623,69.292,0.0,0.0,0.0,-30.342,0.0,4.29,3.51,1.0,4.0,49.0,130.98089881780163,32.937377684176234,131.01686544172287,32.96139291105985,131.02510386069613,32.95261958269539,130.98914078874043,32.92860432204005,131.00711989455039,32.94061325768831,130.9988796985399,32.94938660337192
12.218,8.0,32.952,130.993,15.283,233.105,68.959,155.0,2.624e+17,0.45,-30.345,-3.499,4.26,3.52,1.0,5.0,65.0,130.9707261531035,32.94502506830249,131.00716376613312,32.968085553700476,131.01527629158414,32.958972135683304,130.97884241752126,32.93591161659543,130.99705698982913,32.947443214797175,130.9889425938289,32.95655665012107
12.454,8.0,32.959,130.982,18.566,234.788,69.106,155.0,6.768e+17,1.169,-30.339,-6.994,4.23,3.51,1.0,6.0,81.0,130.95965905061905,32.95261341024821,130.99662508572743,32.97460573416224,131.00434320678534,32.96538372957833,130.96738101109008,32.94339137314854,130.9858598204365,32.95438892799882,130.9781397786283,32.96361094932136
12.838,8.0,32.967,130.971,21.849,234.788,69.106,155.0,1.571e+17,0.257,-30.333,-10.49,4.22,3.51,1.0,7.0,97.0,130.9487007257359,32.96063942012925,130.98558269487845,32.982579724592505,130.9933015154731,32.97335773179864,130.95642337818245,32.9514173948925,130.974860168233,32.962388933894815,130.9671394306732,32.97161094338866
11.324,8.0,32.897,131.0,1.703,227.425,69.556,-132.4,6.688e+17,1.698,-25.967,11.279,4.34,3.63,1.0,8.0,113.0,130.97833790564792,32.887970308181416,131.01249820691194,32.9144461956481,131.0216651259698,32.90602717788528,130.98750805609345,32.87955125471722,131.00458405107048,32.89279039655384,130.99541551526102,32.901209432542906
10.822,8.0,32.904,130.99,4.701,229.03,66.933,-127.46,5.351e+17,1.107,-25.986,7.533,4.31,3.81,1.0,9.0,129.0,130.96737773603274,32.89633981047447,131.0021646429439,32.92182077003447,131.01262466075323,32.91165754187933,130.97784172727424,32.88617654083648,130.9952307041236,32.89891826382147,130.98476869834644,32.90908151318793
10.51,8.0,32.913,130.977,8.717,230.93,71.498,156.675,5.947e+17,1.224,-26.017,3.682,4.29,3.85,1.0,10.0,145.0,130.95508308574472,32.905084902798315,130.99068971093294,32.92946527054387,130.998919686464,32.92091241649917,130.9633164851204,32.89653201534688,130.9811156463485,32.90872349520021,130.97288395786313,32.91727636636236
10.422,8.0,32.921,130.967,12.0,232.496,67.756,156.229,6.34e+17,1.288,-26.054,0.0,4.28,3.55,1.0,11.0,161.0,130.94447768383012,32.91405723106668,130.9807796332824,32.93755283224015,130.98952467718817,32.92793997275161,130.95322665224538,32.90444433538913,130.97137326723342,32.91619348260407,130.96262625993296,32.92580636067065
10.522,8.0,32.929,130.956,15.283,233.636,67.288,163.836,1.162e+18,1.972,-26.071,-3.496,4.26,3.56,1.0,12.0,177.0,130.93330518508935,32.9226012843312,130.9699854112195,32.94537616896089,130.97869696547517,32.93539586626276,130.94202085757794,32.91262094520867,130.96035656267415,32.92400976135519,130.95164294814253,32.93399008277792
10.8,8.0,32.937,130.945,18.566,234.643,67.485,159.595,1.233e+18,2.105,-26.079,-6.989,4.24,3.55,1.0,13.0,193.0,130.92230728202892,32.93093519435721,130.95928540994595,32.95305856514769,130.96769476788532,32.94306192300956,130.9307207997204,32.92093851677427,130.94920548290784,32.93200159703549,130.94079404395478,32.94199825741751
11.244,8.0,32.946,130.934,21.849,234.643,67.485,0.0,0.0,0.0,-26.082,-10.482,4.23,3.55,1.0,14.0,209.0,130.91134858334468,32.93996129794541,130.94824323664557,32.96203245913703,130.9566534506936,32.95203583137739,130.91976294918126,32.92996463481964,130.93820590886352,32.94100160422107,130.92979361778848,32.950998250182906
9.774,8.0,32.87,130.966,1.703,228.187,66.959,-144.482,2.758e+18,6.91,-21.672,11.284,4.32,3.7,1.0,15.0,225.0,130.94364162972437,32.861879769935044,130.97804678076142,32.88784994881382,130.9883609420647,32.878117641491976,130.95395954933173,32.852147422148306,130.97115773909323,32.86513372776864,130.96084169743105,32.874866055763206
9.189,8.0,32.879,130.955,4.701,230.168,64.218,-145.666,2.604e+18,5.299,-21.702,7.534,4.29,3.89,1.0,16.0,241.0,130.9316084431424,32.87246756145131,130.966814672236,32.89724529985378,130.978393376782,32.88552968658244,130.94319177876898,32.86075190169888,130.96079012988125,32.8731420446842,130.94920910837618,32.8848576817507
8.82,8.0,32.889,130.942,8.717,232.546,69.327,-163.746,1.456e+18,2.973,-21.741,3.679,4.27,3.9,1.0,17.0,257.0,130.91941383199622,32.8822192098402,130.9556422194184,32.90563337064296,130.96458843142153,32.895777999281194,130.92836405442972,32.87236380152371,130.94647386153724,32.88407222285671,130.93752564315795,32.89392761318957
8.714,8.0,32.898,130.931,12.0,234.516,66.893,-161.751,9.988e+17,2.029,-21.785,0.0,4.26,3.57,1.0,18.0,273.0,130.90811692724833,32.89199334058629,130.94519475097965,32.9142905899564,130.9538850722039,32.90400375428008,130.91681153409525,32.88170646817216,130.9353459814154,32.89285649505538,130.92665351619837,32.90314334964016
